period,org_code,org_name,region,attendances_type1,attendances_type2,attendances_type3,attendances_type1_booked,attendances_type2_booked,attendances_type3_booked,over_4hrs_type1,over_4hrs_type2,over_4hrs_type3,over_4hrs_type1_booked,over_4hrs_type2_booked,over_4hrs_type3_booked,wait_4_12h_dta,wait_12h_plus_dta,emergency_admissions_type1,emergency_admissions_type2,emergency_admissions_type3,emergency_admissions_other,total_attendances,total_over_4_hours,in_4_hours,pct_in_4_hours,total_emergency_admissions,source_file
2024-04-01,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST,12318,0,10055,0,0,0,4052,0,382,0,0,0,385,1113,3462,0,80,1663,22373,4434,17939,80.1814687346355,5205,Monthly-AE-April-2024-revised.csv
2024-04-01,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS,10713,0,2246,0,0,0,6164,0,328,0,0,0,452,579,3008,0,45,2088,12959,6492,6467,49.903541939964505,5141,Monthly-AE-April-2024-revised.csv
2024-04-01,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,0,0,3432,0,0,183,0,0,54,0,0,3,0,0,0,0,0,0,3615,57,3558,98.42323651452283,0,Monthly-AE-April-2024-revised.csv
2024-04-01,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,NHS ENGLAND EAST OF ENGLAND,0,0,916,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,916,19,897,97.92576419213974,0,Monthly-AE-April-2024-revised.csv
2024-04-01,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,NHS ENGLAND MIDLANDS,0,0,8628,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,8628,213,8415,97.53129346314326,0,Monthly-AE-April-2024-revised.csv
2024-04-01,RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,0,0,4382,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,4382,101,4281,97.69511638521223,0,Monthly-AE-April-2024-revised.csv
2024-04-01,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,0,0,6272,0,0,1630,0,0,31,0,0,2,0,0,0,0,0,0,7902,33,7869,99.58238420653,0,Monthly-AE-April-2024-revised.csv
2024-04-01,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,0,0,1691,0,0,21,0,0,142,0,0,1,0,0,0,0,0,0,1712,143,1569,91.64719626168224,0,Monthly-AE-April-2024-revised.csv
2024-04-01,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,NHS ENGLAND MIDLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,0,0,0,,61,Monthly-AE-April-2024-revised.csv
2024-04-01,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,11395,3944,6932,0,0,387,4969,33,392,0,0,0,669,152,4019,0,0,1112,22658,5394,17264,76.19383882072557,5131,Monthly-AE-April-2024-revised.csv
2024-04-01,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,21306,1559,4897,1308,0,1095,9621,48,478,463,0,27,1533,1394,7759,24,30,1490,30165,10637,19528,64.73727830266866,9303,Monthly-AE-April-2024-revised.csv
2024-04-01,RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,0,0,10114,0,0,647,0,0,247,0,0,9,0,0,0,0,0,0,10761,256,10505,97.62103893690177,0,Monthly-AE-April-2024-revised.csv
2024-04-01,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,0,0,10020,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,10020,37,9983,99.63073852295409,0,Monthly-AE-April-2024-revised.csv
2024-04-01,Y00751,EAST BERKS PRIMARY CARE OOH(WAM),NHS ENGLAND SOUTH EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Monthly-AE-April-2024-revised.csv
2024-04-01,Y02147,URGENT CARE CENTRE (QMS),NHS ENGLAND LONDON,0,0,7556,0,0,592,0,0,304,0,0,3,0,0,0,0,0,0,8148,307,7841,96.23220422189495,0,Monthly-AE-April-2024-revised.csv
2024-04-01,Y02428,PUTNOE WALK IN CENTRE,NHS ENGLAND EAST OF ENGLAND,0,0,3102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3102,0,3102,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,Y02532,MIRIAM MINOR EMERGENCY,NHS ENGLAND NORTH WEST,0,0,1706,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1706,13,1693,99.2379835873388,0,Monthly-AE-April-2024-revised.csv
2024-04-01,Y02615,SOUTH BIRMINGHAM GP WALK IN CENTRE,NHS ENGLAND MIDLANDS,0,0,6526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6526,0,6526,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,Y02676,BRIGHTON STATION HEALTH CENTRE,NHS ENGLAND SOUTH EAST,0,0,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,0,1953,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,Y03007,ERDINGTON GP HEALTH & WELLBEING WIC,NHS ENGLAND MIDLANDS,0,0,0,0,0,2053,0,0,0,0,0,0,0,0,0,0,0,0,2053,0,2053,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,Y03218,THE PINN UNREGISTERED WIC,NHS ENGLAND LONDON,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,924,100.0,0,Monthly-AE-April-2024-revised.csv
2024-04-01,Y07709,READING URGENT CARE CENTRE,NHS ENGLAND SOUTH EAST,0,0,2165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2165,0,2165,100.0,0,Monthly-AE-April-2024-revised.csv
2024-05-01,8J094,BADGER LTD,NHS ENGLAND MIDLANDS,0,0,0,0,0,2119,0,0,0,0,0,0,0,0,0,0,0,0,2119,0,2119,100.0,0,Monthly-AE-May-2024.csv
2024-05-01,AAH,TETBURY HOSPITAL TRUST LTD,NHS ENGLAND SOUTH WEST,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,620,100.0,0,Monthly-AE-May-2024.csv
